iteration,search_nfe,action,phase,best_cost,best_cv,best_fitness,feasible,feasible_fraction,cv_r,cv_soc,cv_e,cv_d,median_cv,normalized_diversity,improved,stagnation_iterations,requested_action,selector_fallback,selector_error_kind,selector_elapsed_seconds,llm_call_id
0,600,A1,feasibility,45631.545386396356,23.337860208763164,23383491.75414956,False,0.0,22.959296702543988,0.37856350621917595,0.0,0.0,57.78396462818133,0.2361583797010426,False,0,A1,False,,0.0,
1,1200,A4,feasibility,44765.87953900319,11.773257746123168,11818023.625662172,False,0.0,11.75721108752666,0.016046658596507394,0.0,0.0,47.921910762527204,0.23771942062147694,True,0,A4,False,,0.0,
2,1800,A4,feasibility,45004.052312866945,3.5671640556801187,3612168.1079929858,False,0.0,3.5671640556801187,0.0,0.0,0.0,32.358270772303044,0.15706950485060972,True,0,A4,False,,0.0,
3,2400,A4,feasibility,44823.84405458283,1.4126262194356844,1457450.0634902671,False,0.0,1.4126262194356844,0.0,0.0,0.0,16.26534764500167,0.11002614654267087,True,0,A4,False,,0.0,
4,3000,A4,feasibility,44924.86366286459,0.9471749392317527,992099.8028946172,False,0.0,0.9471749392317527,0.0,0.0,0.0,18.513662259229136,0.10850648442955754,True,0,A4,False,,0.0,
5,3600,A4,feasibility,44774.64836731645,0.745302620468671,790077.2688359874,False,0.0,0.745302620468671,0.0,0.0,0.0,6.241951924242464,0.08660830747416019,True,0,A4,False,,0.0,
6,4200,A4,feasibility,44785.47733196366,0.41832218707891844,463107.6644108821,False,0.0,0.41832218707891844,0.0,0.0,0.0,5.865320151229315,0.07763287797436541,True,0,A4,False,,0.0,
7,4800,A4,feasibility,45166.940230970285,0.2502879487194687,295454.888950439,False,0.0,0.2502879487194687,0.0,0.0,0.0,3.9967644863515606,0.06628003504356061,True,0,A4,False,,0.0,
8,5400,A4,cost,45086.33314518472,0.0,45086.33314518472,True,0.0016666666666666668,0.0,0.0,0.0,0.0,3.8258464931809026,0.06297480319531831,True,0,A4,False,,0.0,
9,6000,A4,cost,45071.60324800646,0.0,45071.60324800646,True,0.018333333333333333,0.0,0.0,0.0,0.0,2.2677538483729744,0.05658355249841188,True,0,A4,False,,0.0,
10,6600,A4,cost,44881.90485269617,0.0,44881.90485269617,True,0.03666666666666667,0.0,0.0,0.0,0.0,2.0319607505157444,0.05236496688251645,True,0,A4,False,,0.0,
11,7200,A4,cost,44740.01157336754,0.0,44740.01157336754,True,0.18,0.0,0.0,0.0,0.0,0.7339912638193766,0.03828351034212558,True,0,A4,False,,0.0,
12,7800,A4,cost,44546.06726203789,0.0,44546.06726203789,True,0.02666666666666667,0.0,0.0,0.0,0.0,0.6046670169865351,0.04188885861583166,True,0,A4,False,,0.0,
13,8400,A4,cost,44507.723106497586,0.0,44507.723106497586,True,0.043333333333333335,0.0,0.0,0.0,0.0,0.6379973266980519,0.04180753655021332,True,0,A4,False,,0.0,
14,9000,A4,cost,44453.337339588805,0.0,44453.337339588805,True,0.055,0.0,0.0,0.0,0.0,0.2738486440231414,0.039462761702930255,True,0,A4,False,,0.0,
15,9600,A4,cost,44392.81797526315,0.0,44392.81797526315,True,0.13666666666666666,0.0,0.0,0.0,0.0,0.18714202759671855,0.034926430240221344,True,0,A4,False,,0.0,
16,10200,A4,cost,44357.711764815016,0.0,44357.711764815016,True,0.08666666666666667,0.0,0.0,0.0,0.0,0.2618996050182637,0.036224996906029844,True,0,A4,False,,0.0,
17,10800,A4,cost,44339.2266248577,0.0,44339.2266248577,True,0.11,0.0,0.0,0.0,0.0,0.3201845663746521,0.03226936711434799,True,0,A4,False,,0.0,
