iteration,search_nfe,action,phase,best_cost,best_cv,best_fitness,feasible,feasible_fraction,cv_r,cv_soc,cv_e,cv_d,median_cv,normalized_diversity,improved,stagnation_iterations,requested_action,selector_fallback,selector_error_kind,selector_elapsed_seconds,llm_call_id
0,600,A1,feasibility,51098.99590130537,29.102275289552892,29153374.2854542,False,0.0,29.102275289552892,0.0,0.0,0.0,58.404678322424274,0.2358164053969819,False,0,A1,False,,0.0,
1,1200,A1,feasibility,46545.368383628505,19.364703900935403,19411249.26931903,False,0.0,19.364703900935403,0.0,0.0,0.0,45.81747346604968,0.23454036234226075,True,0,A1,False,,0.0,
2,1800,A1,feasibility,48220.567421794585,13.34996791561516,13398188.483036954,False,0.0,13.34996791561516,0.0,0.0,0.0,40.79683409787326,0.18684251105289787,True,0,A1,False,,0.0,
3,2400,A1,feasibility,45518.341265517534,5.706067027353849,5751585.368619367,False,0.0,5.706067027353849,0.0,0.0,0.0,31.750961088594273,0.170730575521504,True,0,A1,False,,0.0,
4,3000,A1,feasibility,45518.341265517534,5.706067027353849,5751585.368619367,False,0.0,5.706067027353849,0.0,0.0,0.0,24.61858162844465,0.14894230227583652,False,0,A1,False,,0.0,
5,3600,A1,feasibility,46132.09009176765,4.661362933849098,4707495.023940866,False,0.0,4.661362933849098,0.0,0.0,0.0,19.652315083815637,0.12414014077165635,True,0,A1,False,,0.0,
6,4200,A1,feasibility,45548.24935887567,3.5883286329403243,3633876.8822992,False,0.0,3.5883286329403243,0.0,0.0,0.0,16.9847410085435,0.11719514823718852,True,0,A1,False,,0.0,
7,4800,A1,feasibility,45689.02562887248,2.424844156512945,2470533.1821418176,False,0.0,2.424844156512945,0.0,0.0,0.0,15.951172873963696,0.11836129917059705,True,0,A1,False,,0.0,
8,5400,A1,feasibility,45300.35245510195,1.9669864592800812,2012286.811735183,False,0.0,1.9669864592800812,0.0,0.0,0.0,12.544173063751114,0.10227166563539772,True,0,A1,False,,0.0,
9,6000,A1,feasibility,45709.96754433389,1.7055077744416052,1751217.741985939,False,0.0,1.7055077744416052,0.0,0.0,0.0,11.634416982631024,0.09052446608130166,True,0,A1,False,,0.0,
10,6600,A1,feasibility,45235.00425696731,1.7029012985207408,1748136.302777708,False,0.0,1.7029012985207408,0.0,0.0,0.0,6.71382233300187,0.08766866769744883,True,0,A1,False,,0.0,
11,7200,A1,feasibility,45405.56845374675,1.5060212910362965,1551426.8594900433,False,0.0,1.5060212910362965,0.0,0.0,0.0,9.58189117671942,0.10359715210979141,True,0,A1,False,,0.0,
12,7800,A1,feasibility,45593.5753955301,0.9091459222850031,954739.4976805332,False,0.0,0.9091459222850031,0.0,0.0,0.0,7.367959480173305,0.09373428245115496,True,0,A1,False,,0.0,
13,8400,A1,feasibility,45652.07815797631,0.8090812954095393,854733.3735675156,False,0.0,0.8090812954095393,0.0,0.0,0.0,8.360571231810642,0.09170903212972085,True,0,A1,False,,0.0,
14,9000,A1,feasibility,45366.85260751874,0.2299627316171602,275329.5842246789,False,0.0,0.2299627316171602,0.0,0.0,0.0,5.724083167337448,0.08469704813615528,True,0,A1,False,,0.0,
15,9600,A1,feasibility,45589.63861657436,0.12521361998795139,170803.25860452576,False,0.0,0.12521361998795139,0.0,0.0,0.0,4.9667972441582915,0.08355038160003653,True,0,A1,False,,0.0,
16,10200,A1,feasibility,45589.63861657436,0.12521361998795139,170803.25860452576,False,0.0,0.12521361998795139,0.0,0.0,0.0,5.905787873543655,0.08479119298378933,False,0,A1,False,,0.0,
17,10800,A1,feasibility,45375.525086165464,0.04881823412075459,94193.75920692005,False,0.0,0.04881823412075459,0.0,0.0,0.0,3.284470152821876,0.07397008059863024,True,0,A1,False,,0.0,
18,11400,A1,feasibility,45451.14519389786,0.045637193921861975,91088.33911575982,False,0.0,0.045637193921861975,0.0,0.0,0.0,3.743586765751655,0.0804440694820095,True,0,A1,False,,0.0,
19,12000,A1,cost,45487.63804865502,0.0,45487.63804865502,True,0.0016666666666666668,0.0,0.0,0.0,0.0,2.3621111142119595,0.06650774873463051,True,0,A1,False,,0.0,
20,12600,A1,cost,45487.63804865502,0.0,45487.63804865502,True,0.013333333333333334,0.0,0.0,0.0,0.0,3.0041334649764186,0.06052779967815842,False,1,A1,False,,0.0,
21,13200,A1,cost,45414.45217336812,0.0,45414.45217336812,True,0.025,0.0,0.0,0.0,0.0,1.6447933115743854,0.04965145156923535,True,0,A1,False,,0.0,
22,13800,A1,cost,45227.93691864446,0.0,45227.93691864446,True,0.07833333333333334,0.0,0.0,0.0,0.0,1.223603239913385,0.0508009893966379,True,0,A1,False,,0.0,
